,city,district,region,metro,adress,age_of_construction,rooms_in_flat,rooms_to_rent,apartment_layout,ceiling_height,restroom,bathroom,remont,window_view,floor_of_flat,height,to_metro,type_of_way,price,kitchen_size,room_size,building_age,share_in_flat,remont_scale,price_per_square
0,Москва,ЮЗАО,р-н Коньково,Коньково,улица Островитянова 35А,1978.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,0.0,10.0,17.0,7,пешком,21000,12.0,14.0,43.0,0.5,1,1500.0
1,Москва,СВАО,р-н Отрадное,Владыкино,Алтуфьевское шоссе 2,1990.0,2.0,1.0,Изолированная,2.7,1 раздельный,Есть,Евроремонт,1.0,7.0,16.0,3,пешком,30000,8.63880341880342,20.0,31.0,0.5,2,1500.0
2,Москва,ЮВАО,р-н Лефортово,Авиамоторная,Авиамоторная улица 35,1969.0,3.0,1.0,,,1 раздельный,,Евроремонт,,4.0,5.0,5,пешком,30000,8.0,15.0,52.0,0.3333333333333333,2,2000.0
3,Москва,ЮАО,р-н Даниловский,Павелецкая,Павелецкая набережная 2С2,1999.0,6.0,1.0,Изолированная,3.0,"1 совмещенный, 1 раздельный",Есть,Косметический,2.0,1.0,4.0,15,пешком,20000,15.0,10.0,22.0,0.16666666666666666,1,2000.0
4,Москва,ЮЗАО,р-н Теплый Стан,Теплый Стан,улица Теплый Стан 5К3,1975.0,2.0,1.0,Изолированная,2.48,1 раздельный,Есть,Косметический,2.0,2.0,16.0,5,пешком,18000,7.0,15.0,46.0,0.5,1,1200.0
5,Москва,ЮЗАО,р-н Коньково,Коньково,улица Островитянова 35А,1978.0,5.0,1.0,Изолированная,,1 раздельный,Есть,Евроремонт,0.0,2.0,17.0,7,пешком,17000,15.0,8.0,43.0,0.2,2,2125.0
6,Москва,ЗАО,р-н Тропарево-Никулино,Юго-Западная,улица 26-ти Бакинских Комиссаров 1к3,1969.0,3.0,1.0,Изолированная,,1 совмещенный,Есть,Евроремонт,2.0,6.0,9.0,10,пешком,18000,7.0,16.0,52.0,0.3333333333333333,2,1125.0
7,Москва,ВАО,р-н Восточное Измайлово,Первомайская,13-я Парковая улица 11,1953.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Евроремонт,2.0,2.0,5.0,10,пешком,10000,12.0,7.0,68.0,0.5,2,1428.5714285714287
8,Москва,СВАО,р-н Бабушкинский,Бабушкинская,Анадырский проезд 15/1,1968.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,6.0,9.0,15,пешком,13000,7.0,14.0,53.0,0.3333333333333333,1,928.5714285714286
9,Москва,ЮАО,р-н Зябликово,Шипиловская,Ореховый проезд 31,1976.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,1.0,5.0,9.0,10,пешком,13000,8.0,15.0,45.0,0.5,1,866.6666666666666
