,city,district,region,metro,adress,age_of_construction,rooms_in_flat,rooms_to_rent,apartment_layout,ceiling_height,restroom,bathroom,remont,window_view,floor_of_flat,height,to_metro,type_of_way,price,kitchen_size,room_size,building_age,share_in_flat,remont_scale,price_per_square
10,Москва,СВАО,р-н Останкинский,Алексеевская,проспект Мира 91К3,1973.0,3.0,1.0,Изолированная,2.7,1 раздельный,Есть,Евроремонт,2.0,11.0,14.0,2,пешком,20000,10.0,17.0,48.0,0.3333333333333333,2,1176.4705882352941
11,Москва,ЮВАО,р-н Люблино,Люблино,Краснодонская улица 14К2,1956.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,1.0,2.0,5.0,10,пешком,17000,8.0,20.0,65.0,0.3333333333333333,1,850.0
12,Москва,ЮАО,р-н Зябликово,Шипиловская,Шипиловская улица 39К2,1979.0,2.0,1.0,Изолированная,2.48,1 раздельный,Есть,Косметический,2.0,5.0,12.0,5,пешком,18000,8.0,20.0,42.0,0.5,1,900.0
13,Москва,СВАО,р-н Бибирево,Алтуфьево,Алтуфьевское шоссе 74,1984.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,12.0,22.0,5,пешком,19000,10.0,20.0,37.0,0.3333333333333333,1,950.0
14,Москва,САО,р-н Тимирязевский,Окружная,Дмитровское шоссе 59К1,1956.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,5.0,8.0,7,пешком,20000,8.0,17.0,65.0,0.5,1,1176.4705882352941
15,Москва,ЦАО,р-н Басманный,Бауманская,Большая Почтовая улица 18/20К12,1931.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,3.0,5.0,10,пешком,18000,8.0,20.0,90.0,0.3333333333333333,1,900.0
16,Москва,ЮАО,р-н Нагорный,Варшавская,Чонгарский бульвар 1К4,1961.0,3.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,8.0,8.0,3,пешком,19000,9.0,20.0,60.0,0.3333333333333333,1,950.0
17,Москва,ВАО,р-н Перово,Новогиреево,Мартеновская улица 3,1958.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,5.0,5.0,10,пешком,14000,7.0,15.1,63.0,0.3333333333333333,1,927.1523178807947
18,Москва,ЮВАО,р-н Выхино-Жулебино,Юго-Восточная,Ташкентская улица 18К2,1968.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,4.0,5.0,5,пешком,13000,7.0,15.0,53.0,0.3333333333333333,1,866.6666666666666
19,Москва,ВАО,р-н Вешняки,Выхино,Снайперская улица 7,1971.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,4.0,9.0,14,пешком,14000,8.63880341880342,17.0,50.0,0.3333333333333333,1,823.5294117647059
20,Москва,ЮАО,р-н Бирюлево Восточное,Царицыно,Бирюлевская улица 32,1972.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,3.0,9.0,19,на транспорте,12000,7.0,16.0,49.0,0.3333333333333333,1,750.0
21,Москва,ЮАО,р-н Бирюлево Восточное,Царицыно,Бирюлевская улица 32,1972.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,3.0,9.0,19,на транспорте,12000,7.0,12.0,49.0,0.3333333333333333,1,1000.0
22,Москва,ЮВАО,р-н Марьино,Братиславская,улица Верхние Поля 38К1,2002.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,7.0,17.0,15,пешком,14000,9.0,16.0,19.0,0.3333333333333333,1,875.0
23,Москва,ЮАО,р-н Орехово-Борисово Южное,Домодедовская,улица Генерала Белова 45К1,1979.0,3.0,1.0,Изолированная,2.48,1 раздельный,Есть,Косметический,2.0,1.0,16.0,5,пешком,16000,8.0,17.0,42.0,0.3333333333333333,1,941.1764705882352
24,Москва,ВАО,р-н Восточное Измайлово,Первомайская,Нижняя Первомайская улица 59,1984.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,10.0,17.0,10,пешком,16000,9.0,16.0,37.0,0.3333333333333333,1,1000.0
25,Москва,ЮЗАО,р-н Котловка,Крымская,Большая Черемушкинская улица 15К2,1959.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,,3.0,5.0,15,пешком,20000,10.0,20.0,62.0,0.3333333333333333,1,1000.0
26,Москва,ЮАО,р-н Нагатино-Садовники,Нагатинская,Варшавское шоссе 55К1,1960.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,,1.0,8.0,9,пешком,18000,8.0,18.0,61.0,0.5,1,1000.0
27,Москва,ЦАО,р-н Таганский,Калитники,Нижегородская улица 25,2007.0,2.0,1.0,Изолированная,,,,Косметический,,19.0,24.0,9,пешком,20000,10.0,12.0,14.0,0.5,1,1666.6666666666667
28,Москва,ЮЗАО,р-н Коньково,Беляево,улица Введенского 10К1,1969.0,3.0,1.0,Изолированная,,1 раздельный,,Евроремонт,,6.0,9.0,10,пешком,20000,5.0,18.0,52.0,0.3333333333333333,2,1111.111111111111
29,Москва,СЗАО,р-н Хорошево-Мневники,Щукинская,Живописная улица 16,1963.0,3.0,1.0,Изолированная,2.48,1 совмещенный,Есть,Косметический,2.0,1.0,5.0,19,на транспорте,14000,7.0,16.0,58.0,0.3333333333333333,1,875.0
30,Москва,ЮВАО,р-н Текстильщики,Волжская,улица Шкулева 15/18к2,1969.0,6.0,1.0,Изолированная,3.5,,,Косметический,,4.0,5.0,5,пешком,18000,15.0,15.0,52.0,0.16666666666666666,1,1200.0
31,Москва,ЮАО,р-н Орехово-Борисово Южное,Домодедовская,Ореховый бульвар 14К1,1974.0,3.0,1.0,Изолированная,2.64,4 раздельных,Есть,Без ремонта,2.0,3.0,9.0,5,пешком,14000,10.0,14.0,47.0,0.3333333333333333,0,1000.0
32,Москва,ЮАО,р-н Орехово-Борисово Северное,Орехово,улица Маршала Захарова 17К2,1975.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Евроремонт,2.0,7.0,9.0,14,пешком,18000,9.0,13.0,46.0,0.3333333333333333,2,1384.6153846153845
33,Москва,ЮАО,р-н Царицыно,Кантемировская,Кантемировская улица 37,1965.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,4.0,5.0,1,пешком,13000,7.0,15.0,56.0,0.5,1,866.6666666666666
34,Москва,САО,р-н Войковский,Войковская,улица Клары Цеткин 17,1969.0,2.0,1.0,,,1 раздельный,,Косметический,,2.0,9.0,18,пешком,17000,7.0,13.0,52.0,0.5,1,1307.6923076923076
35,Москва,ЮВАО,р-н Печатники,Марьино,Батюнинская улица 8,1973.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,3.0,5.0,27,на транспорте,15000,7.0,12.0,48.0,0.5,1,1250.0
36,Москва,ЮАО,р-н Царицыно,Царицыно,Бакинская улица 27,1969.0,3.0,1.0,,,1 раздельный,,Косметический,,1.0,16.0,27,на транспорте,17000,8.0,14.6,52.0,0.3333333333333333,1,1164.3835616438357
37,Москва,ЮЗАО,р-н Коньково,Коньково,улица Островитянова 35А,1978.0,5.0,1.0,Изолированная,,1 раздельный,Есть,Евроремонт,0.0,2.0,17.0,7,пешком,18000,10.0,8.0,43.0,0.2,2,2250.0
38,Москва,ЮЗАО,р-н Коньково,Беляево,Миклухо-Маклая улица 42,1990.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,12.0,25.0,10,пешком,15000,8.0,12.0,31.0,0.5,1,1250.0
39,Москва,СВАО,р-н Северное Медведково,Медведково,Широкая улица 10К1,1966.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,6.0,9.0,5,пешком,15000,7.0,14.0,55.0,0.3333333333333333,1,1071.4285714285713
40,Москва,СВАО,р-н Бабушкинский,Медведково,Осташковская улица 17,1969.0,2.0,1.0,,,,Есть,Косметический,,1.0,4.0,13,пешком,15000,8.0,13.0,52.0,0.5,1,1153.8461538461538
41,Москва,ЮЗАО,р-н Ясенево,Ясенево,Голубинская улица 24К1,1978.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,1.0,5.0,16.0,10,пешком,18000,8.0,20.0,43.0,0.5,1,900.0
42,Москва,ЗАО,р-н Раменки,Киевская,улица Пырьева 4К1,1969.0,2.0,2.0,,0.0,1 совмещенный,,Евроремонт,,2.0,8.0,58,на транспорте,75000,14.0,43.0,52.0,1.0,2,1744.1860465116279
43,Москва,ЦАО,р-н Тверской,Савеловская,Новослободская улица 62К19,1931.0,3.0,1.0,Изолированная,3.2,1 раздельный,Есть,Косметический,0.0,3.0,5.0,5,пешком,20000,10.0,14.0,90.0,0.3333333333333333,1,1428.5714285714287
44,Москва,СВАО,р-н Лосиноостровский,Бабушкинская,Анадырский проезд 47К3,1969.0,3.0,1.0,,2.64,1 раздельный,Есть,Косметический,2.0,4.0,9.0,15,на транспорте,16000,6.0,14.0,52.0,0.3333333333333333,1,1142.857142857143
45,Москва,ВАО,р-н Измайлово,Первомайская,5-я Парковая улица 42,1951.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,3.0,5.0,10,пешком,15000,7.0,16.0,70.0,0.5,1,937.5
46,Москва,СВАО,р-н Свиблово,Ботанический сад,Вересковая улица 1к2,2004.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Евроремонт,2.0,2.0,17.0,11,на транспорте,18000,12.0,21.0,17.0,0.3333333333333333,2,857.1428571428571
47,Москва,ЗАО,р-н Очаково-Матвеевское,Мичуринский проспект,Аминьевское шоссе 11,1973.0,3.0,1.0,Изолированная,,1 раздельный,,Евроремонт,2.0,3.0,9.0,23,на транспорте,20000,21.0,21.0,48.0,0.3333333333333333,2,952.3809523809524
48,Москва,НАО (Новомосковский),м. Румянцево,Румянцево,д. Дудкино Дудкино-1 СНТ,1969.0,3.0,1.0,Изолированная,3.0,1 совмещенный,Есть,Евроремонт,2.0,1.0,3.0,14,пешком,16000,25.0,20.0,52.0,0.3333333333333333,2,800.0
49,Москва,ВАО,р-н Соколиная гора,Соколиная гора,улица 9-я Соколиной Горы 15,1958.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,5.0,5.0,14,пешком,14000,7.0,18.0,63.0,0.5,1,777.7777777777778
50,Москва,ЮЗАО,р-н Коньково,Беляево,Профсоюзная улица 110К2,1967.0,2.0,1.0,Изолированная,2.64,,Есть,Косметический,2.0,4.0,5.0,3,пешком,20000,8.0,16.0,54.0,0.5,1,1250.0
51,Москва,ЮАО,р-н Царицыно,Царицыно,Севанская улица 11,1969.0,3.0,1.0,,,,,Косметический,,1.0,9.0,9,пешком,20000,8.63880341880342,15.559046052631581,52.0,0.3333333333333333,1,1285.4258501675492
52,Москва,ЮАО,р-н Царицыно,Кантемировская,Кавказский бульвар 46К3,1964.0,3.0,1.0,Изолированная,2.64,1 совмещенный,Есть,Косметический,2.0,3.0,5.0,8,пешком,18000,6.0,19.0,57.0,0.3333333333333333,1,947.3684210526316
53,Москва,СЗАО,р-н Митино,Митино,Дубравная улица 44,1999.0,3.0,1.0,Изолированная,,,,Косметический,2.0,16.0,22.0,9,пешком,16000,15.0,16.0,22.0,0.3333333333333333,1,1000.0
54,Москва,ВАО,р-н Преображенское,Преображенская площадь,Халтуринская улица 7АК5,1964.0,3.0,1.0,,,1 совмещенный,Есть,Евроремонт,2.0,2.0,5.0,8,пешком,25000,8.0,16.0,57.0,0.3333333333333333,2,1562.5
55,Москва,ВАО,р-н Гольяново,Щелковская,Уссурийская улица 11К1,1972.0,3.0,1.0,Смежная,2.64,1 раздельный,,Косметический,0.0,11.0,14.0,15,на транспорте,13000,10.0,20.0,49.0,0.3333333333333333,1,650.0
56,Москва,САО,р-н Беговой,Беговая,Беговая улица 17К1,1940.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,5.0,7.0,15,пешком,18000,9.0,20.0,81.0,0.3333333333333333,1,900.0
57,Москва,ЮАО,р-н Царицыно,Кантемировская,Кавказский бульвар 50,1997.0,2.0,1.0,,2.64,1 раздельный,Есть,Косметический,2.0,5.0,17.0,16,пешком,18000,10.0,14.0,24.0,0.5,1,1285.7142857142858
58,Москва,ЦАО,р-н Басманный,Красные ворота,Новая Басманная улица 16С4,1914.0,5.0,1.0,Изолированная,,3 раздельных,,Косметический,,2.0,6.0,10,пешком,20000,7.0,11.5,107.0,0.2,1,1739.1304347826087
59,Москва,ЗАО,р-н Тропарево-Никулино,Юго-Западная,проспект Вернадского 97,1979.0,4.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,4.0,16.0,9,пешком,19000,10.0,14.0,42.0,0.25,1,1357.142857142857
60,Москва,ЗАО,р-н Филевский парк,Фили,Новозаводская улица 17К1,1932.0,4.0,1.0,Изолированная,2.8,1 раздельный,,Евроремонт,1.0,4.0,4.0,7,пешком,20000,7.0,11.0,89.0,0.25,2,1818.1818181818182
61,Москва,САО,р-н Савеловский,Дмитровская,1-я Хуторская улица 10К2,1957.0,4.0,1.0,Изолированная,,1 раздельный,,Косметический,2.0,5.0,5.0,6,пешком,20000,10.0,17.0,64.0,0.25,1,1176.4705882352941
62,Москва,ВАО,р-н Восточное Измайлово,Первомайская,Первомайская улица 119,1957.0,3.0,1.0,Изолированная,2.8,1 раздельный,Есть,Евроремонт,2.0,1.0,5.0,16,пешком,17000,8.0,14.8,64.0,0.3333333333333333,2,1148.6486486486485
63,Москва,ВАО,р-н Вешняки,Выхино,Вешняковская улица 28/21К1,1972.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,6.0,14.0,3,пешком,15000,6.0,10.0,49.0,0.5,1,1500.0
64,Москва,ЮАО,р-н Нагатинский затон,Коломенская,Кленовый бульвар 7,1965.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,8.0,9.0,9,пешком,16000,7.0,12.0,56.0,0.3333333333333333,1,1333.3333333333333
65,Москва,ЮАО,р-н Донской,Шаболовская,1-й Рощинский проезд 8,1957.0,6.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,2.0,5.0,14,пешком,13000,8.0,15.0,64.0,0.16666666666666666,1,866.6666666666666
66,Москва,ВАО,р-н Восточное Измайлово,Первомайская,15-я Парковая улица 26К2,1968.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,6.0,9.0,11,на транспорте,13000,8.0,20.0,53.0,0.5,1,650.0
67,Москва,ВАО,р-н Соколиная гора,Соколиная гора,проспект Буденного 30/8,1956.0,2.0,1.0,,,1 раздельный,Есть,Косметический,,1.0,9.0,17,пешком,14000,8.0,20.0,65.0,0.5,1,700.0
68,Москва,ЮАО,р-н Чертаново Южное,Улица Академика Янгеля,улица Академика Янгеля 4,1982.0,2.0,1.0,,,,Есть,Косметический,,4.0,16.0,4,пешком,16000,11.0,16.0,39.0,0.5,1,1000.0
69,Москва,ЗАО,р-н Ново-Переделкино,Новопеределкино,улица 7-я Лазенки вл14с1,1969.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,3.0,7.0,27,на транспорте,17000,5.0,25.0,52.0,0.5,1,680.0
70,Москва,ЗАО,р-н Проспект Вернадского,Проспект Вернадского,улица Удальцова 3К12,1974.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,,2.0,16.0,7,пешком,20000,9.0,18.0,47.0,0.5,1,1111.111111111111
71,Москва,ЮЗАО,р-н Ясенево,Ясенево,Новоясеневский проспект 12К1,1969.0,3.0,1.0,,,,,Косметический,,1.0,9.0,13,пешком,18000,8.63880341880342,15.559046052631581,52.0,0.3333333333333333,1,1156.8832651507942
72,Москва,ЮЗАО,р-н Южное Бутово,Бунинская аллея,улица Адмирала Лазарева 63к2,2011.0,3.0,1.0,Изолированная,,2 совмещенных,Есть,Косметический,,9.0,24.0,5,пешком,15000,12.0,18.0,10.0,0.3333333333333333,1,833.3333333333334
73,Москва,ЦАО,р-н Басманный,Чкаловская,улица Земляной Вал 27С1,1930.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Евроремонт,0.0,8.0,8.0,4,пешком,25000,10.0,13.0,91.0,0.3333333333333333,2,1923.076923076923
74,Москва,НАО (Новомосковский),м. Румянцево,Румянцево,д. Дудкино Дары Природы СНТ,2017.0,3.0,1.0,Изолированная,,2 раздельных,,Евроремонт,1.0,2.0,3.0,39,на транспорте,18000,13.0,18.0,4.0,0.3333333333333333,2,1000.0
75,Москва,СЗАО,р-н Северное Тушино,Планерная,Планерная улица 16К2,1964.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Евроремонт,1.0,3.0,5.0,4,пешком,14000,8.0,14.0,57.0,0.3333333333333333,2,1000.0
76,Москва,САО,р-н Ховрино,Беломорская,улица Лавочкина 44К3,1999.0,3.0,1.0,Изолированная,2.64,1 раздельный,,Евроремонт,2.0,17.0,22.0,16,пешком,19000,10.0,24.0,22.0,0.3333333333333333,2,791.6666666666666
77,Москва,ЦАО,р-н Басманный,Бауманская,Новая Басманная улица 31С1,1914.0,4.0,1.0,Изолированная,3.4,"1 совмещенный, 1 раздельный",Есть,Евроремонт,2.0,5.0,7.0,8,пешком,28000,23.0,18.0,107.0,0.25,2,1555.5555555555557
78,Москва,ВАО,р-н Метрогородок,Бульвар Рокоссовского,Открытое шоссе 24К36,1959.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,1.0,1.0,5.0,11,на транспорте,15000,8.0,18.0,62.0,0.3333333333333333,1,833.3333333333334
79,Москва,САО,р-н Коптево,Лихоборы,проезд Черепановых 56,1969.0,3.0,2.0,,,,,Косметический,,2.0,5.0,14,пешком,20000,10.0,20.5,52.0,0.6666666666666666,1,975.609756097561
80,Москва,ЮЗАО,р-н Коньково,Беляево,Профсоюзная улица 102/47,1972.0,2.0,1.0,Изолированная,,,,Косметический,,12.0,12.0,2,пешком,25000,15.0,25.0,49.0,0.5,1,1000.0
81,Москва,СВАО,р-н Бабушкинский,Бабушкинская,Анадырский проезд 11,1958.0,2.0,1.0,Изолированная,3.0,1 раздельный,Есть,Косметический,2.0,3.0,5.0,15,пешком,17000,9.0,15.0,63.0,0.5,1,1133.3333333333333
82,Москва,САО,р-н Бескудниковский,Окружная,Бескудниковский бульвар 22,2003.0,2.0,1.0,Изолированная,2.74,,Есть,Косметический,,7.0,17.0,20,пешком,16000,12.0,15.0,18.0,0.5,1,1066.6666666666667
83,Москва,ЗАО,р-н Солнцево,Солнцево,улица Авиаторов 8К1,1989.0,2.0,1.0,,,1 раздельный,Есть,Косметический,,17.0,17.0,10,пешком,20000,9.0,20.0,32.0,0.5,1,1000.0
84,Москва,ЮВАО,р-н Текстильщики,Волжская,улица Шкулева 15/18,1969.0,6.0,6.0,,3.5,,,Косметический,,3.0,5.0,7,пешком,18000,16.0,16.0,52.0,1.0,1,1125.0
85,Москва,ЮАО,р-н Бирюлево Восточное,Царицыно,Элеваторная улица 14,1974.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,8.0,12.0,19,на транспорте,18000,6.0,20.0,47.0,0.3333333333333333,1,900.0
86,Москва,СВАО,р-н Северное Медведково,Медведково,Студеный проезд 34К1,1973.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Евроремонт,2.0,9.0,9.0,9,пешком,25000,6.0,22.0,48.0,0.5,2,1136.3636363636363
87,Москва,САО,р-н Войковский,Водный стадион,Нарвская улица 1Ак1,1969.0,3.0,1.0,,,,,Косметический,,15.0,17.0,15,на транспорте,25000,8.63880341880342,15.0,52.0,0.3333333333333333,1,1666.6666666666667
88,Москва,ВАО,р-н Преображенское,Преображенская площадь,Халтуринская улица 17,1970.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,1.0,9.0,14,пешком,15000,8.0,12.0,51.0,0.3333333333333333,1,1250.0
89,Москва,САО,р-н Головинский,Коптево,Лихоборская набережная 4К1,1961.0,3.0,1.0,Изолированная,2.48,1 раздельный,Есть,Косметический,0.0,4.0,5.0,19,пешком,18000,9.0,19.0,60.0,0.3333333333333333,1,947.3684210526316
90,Москва,ЮВАО,р-н Нижегородский,Стахановская,3-я Карачаровская улица 7,1974.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,1.0,8.0,9.0,12,пешком,14000,8.0,18.0,47.0,0.3333333333333333,1,777.7777777777778
91,Москва,ЮЗАО,р-н Ясенево,Ясенево,Соловьиный проезд 2,1978.0,3.0,1.0,Изолированная,2.64,,Есть,Евроремонт,0.0,2.0,9.0,17,пешком,18000,6.0,10.0,43.0,0.3333333333333333,2,1800.0
92,Москва,ЗАО,р-н Можайский,Сетунь,Барвихинская улица 24,1972.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,9.0,9.0,5,пешком,16000,7.0,18.0,49.0,0.5,1,888.8888888888889
93,Москва,ЮАО,р-н Братеево,Алма-Атинская,улица Борисовские Пруды 48К2,1989.0,2.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,2.0,4.0,17.0,16,пешком,20000,10.0,20.0,32.0,0.5,1,1000.0
94,Москва,ЦАО,р-н Мещанский,Проспект Мира,Большая Переяславская улица 6К2,1972.0,2.0,1.0,Изолированная,2.64,,Есть,Косметический,0.0,8.0,14.0,12,пешком,19000,9.0,12.0,49.0,0.5,1,1583.3333333333333
95,Москва,ВАО,р-н Метрогородок,Бульвар Рокоссовского,Открытое шоссе 23К4,2005.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Евроремонт,2.0,5.0,14.0,11,на транспорте,18000,10.0,14.0,16.0,0.5,2,1285.7142857142858
96,Москва,ЮАО,р-н Чертаново Южное,Покровское,Дорожная улица 7К1,1973.0,2.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,7.0,9.0,9,пешком,15000,7.0,11.0,48.0,0.5,1,1363.6363636363637
97,Москва,ЮАО,р-н Братеево,Алма-Атинская,Ключевая улица 10К2,1985.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,0.0,10.0,14.0,8,пешком,15000,12.0,10.0,36.0,0.3333333333333333,1,1500.0
98,Москва,ВАО,р-н Перово,Шоссе Энтузиастов,шоссе Энтузиастов 60к1,1988.0,3.0,1.0,Изолированная,2.65,1 раздельный,Есть,Косметический,2.0,3.0,12.0,19,пешком,15000,10.0,11.0,33.0,0.3333333333333333,1,1363.6363636363637
99,Москва,ЗелАО,р-н Матушкино,Крюково,мкр. 1-й к107Г,1969.0,3.0,1.0,,,1 раздельный,Есть,Косметический,,3.0,10.0,35,на транспорте,15000,8.63880341880342,58.0,52.0,0.3333333333333333,1,258.62068965517244
100,Москва,ЦАО,р-н Хамовники,Спортивная,улица Усачева 19АК3,1926.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Евроремонт,2.0,6.0,6.0,5,пешком,20000,10.0,15.0,95.0,0.3333333333333333,2,1333.3333333333333
101,Москва,ЗАО,р-н Дорогомилово,Кутузовская,Кутузовский проспект 35,1940.0,4.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,2.0,9.0,4,пешком,20000,9.0,13.0,81.0,0.25,1,1538.4615384615386
102,Москва,ЮВАО,р-н Марьино,Марьино,Батайский проезд 29,1980.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,,9.0,9.0,20,пешком,17000,7.0,24.0,41.0,0.3333333333333333,1,708.3333333333334
103,Москва,ЮВАО,р-н Текстильщики,Волжская,улица Шкулева 15/18к2,1969.0,6.0,1.0,Изолированная,,2 раздельных,,Косметический,,3.0,5.0,11,пешком,18000,32.0,16.0,52.0,0.16666666666666666,1,1125.0
104,Москва,ЮАО,р-н Чертаново Южное,Улица Академика Янгеля,Чертановская улица 66К1,1971.0,4.0,1.0,Изолированная,,"1 совмещенный, 1 раздельный",,Евроремонт,,3.0,9.0,7,пешком,18000,8.0,13.0,50.0,0.25,2,1384.6153846153845
105,Москва,ЮАО,р-н Чертаново Южное,Улица Академика Янгеля,Россошанская улица 3К2,1971.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Евроремонт,2.0,8.0,9.0,7,пешком,17000,8.0,20.0,50.0,0.3333333333333333,2,850.0
106,Москва,ЮВАО,р-н Рязанский,Рязанский проспект,улица Паперника 21,1969.0,4.0,1.0,Изолированная,2.5,1 раздельный,,Косметический,2.0,1.0,5.0,5,пешком,14000,10.0,14.0,52.0,0.25,1,1000.0
107,Москва,СЗАО,р-н Строгино,Строгино,Таллинская улица 3К1,1980.0,3.0,1.0,Изолированная,2.64,1 раздельный,Есть,Косметический,,8.0,12.0,10,пешком,18000,8.7,12.0,41.0,0.3333333333333333,1,1500.0
108,Москва,СВАО,р-н Лосиноостровский,Медведково,улица Малыгина 6,1976.0,3.0,1.0,Изолированная,,1 раздельный,Есть,Косметический,2.0,8.0,12.0,27,на транспорте,14000,6.6,19.0,45.0,0.3333333333333333,1,736.8421052631579
